Trait1,Trait2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
4080.ukbb.sumstats.gz,6152_100.ukbb.sumstats.gz,0.008,0.025,0.321,0.748,0.078,0.007,1.038,0.018,0.049,0.008
4080.ukbb.sumstats.gz,6152_5.ukbb.sumstats.gz,-0.008,0.056,-0.146,0.884,0.011,0.002,1.012,0.009,-0.004,0.007
4080.ukbb.sumstats.gz,6152_6.ukbb.sumstats.gz,0.135,0.053,2.564,0.01,0.013,0.002,0.985,0.007,-0.008,0.007
4080.ukbb.sumstats.gz,6152_7.ukbb.sumstats.gz,0.017,0.063,0.267,0.789,0.006,0.002,1.008,0.007,-0.005,0.006
4080.ukbb.sumstats.gz,6152_8.ukbb.sumstats.gz,0.043,0.028,1.548,0.122,0.06,0.007,1.024,0.016,-0.012,0.008
4080.ukbb.sumstats.gz,6152_9.ukbb.sumstats.gz,-0.04,0.026,-1.547,0.122,0.074,0.006,1.043,0.016,-0.061,0.008
4080.ukbb.sumstats.gz,6153_100.ukbb.sumstats.gz,-0.687,0.026,-26.306,1.65E-152,0.066,0.004,1.018,0.008,-0.15,0.008
4080.ukbb.sumstats.gz,6153_1.ukbb.sumstats.gz,0.455,0.032,14.072,5.68E-45,0.051,0.006,1.025,0.014,0.103,0.007
4080.ukbb.sumstats.gz,6153_2.ukbb.sumstats.gz,0.784,0.02,39.572,0,0.106,0.007,1.032,0.012,0.21,0.01
4080.ukbb.sumstats.gz,6153_4.ukbb.sumstats.gz,-0.038,0.053,-0.712,0.477,0.015,0.003,1.002,0.006,-0.006,0.006
4080.ukbb.sumstats.gz,6154_100.ukbb.sumstats.gz,-0.166,0.025,-6.758,1.40E-11,0.055,0.003,1.028,0.009,-0.019,0.007
4080.ukbb.sumstats.gz,6154_1.ukbb.sumstats.gz,0.503,0.039,12.991,1.37E-38,0.021,0.002,1.014,0.007,0.057,0.007
4080.ukbb.sumstats.gz,6154_2.ukbb.sumstats.gz,-0.115,0.037,-3.096,0.002,0.023,0.002,0.996,0.006,-0.046,0.006
4080.ukbb.sumstats.gz,6154_3.ukbb.sumstats.gz,0.038,0.029,1.289,0.197,0.044,0.003,1.024,0.009,-0.018,0.006
4080.ukbb.sumstats.gz,6154_5.ukbb.sumstats.gz,0.082,0.037,2.181,0.029,0.018,0.002,1.019,0.007,0.033,0.006
4080.ukbb.sumstats.gz,6154_6.ukbb.sumstats.gz,0.057,0.042,1.351,0.177,0.012,0.002,1.009,0.007,-0.016,0.005
4080.ukbb.sumstats.gz,6155_100.ukbb.sumstats.gz,0.091,0.034,2.672,0.008,0.03,0.002,0.994,0.007,0.019,0.007
4080.ukbb.sumstats.gz,6155_1.ukbb.sumstats.gz,-0.022,0.088,-0.253,0.8,0.004,0.002,1.003,0.006,0.004,0.006
4080.ukbb.sumstats.gz,6155_2.ukbb.sumstats.gz,-0.053,0.061,-0.876,0.381,0.008,0.002,0.999,0.007,-0.015,0.007
4080.ukbb.sumstats.gz,6155_3.ukbb.sumstats.gz,-0.123,0.05,-2.467,0.014,0.013,0.002,0.998,0.007,-0.01,0.007
4080.ukbb.sumstats.gz,6155_4.ukbb.sumstats.gz,-0.078,0.065,-1.197,0.231,0.006,0.002,0.998,0.007,0.002,0.006
4080.ukbb.sumstats.gz,6155_5.ukbb.sumstats.gz,-0.071,0.063,-1.119,0.263,0.007,0.001,0.995,0.006,0.002,0.006
4080.ukbb.sumstats.gz,6155_7.ukbb.sumstats.gz,-0.087,0.036,-2.402,0.016,0.024,0.002,1.007,0.008,-0.032,0.007
4080.ukbb.sumstats.gz,6157_100.ukbb.sumstats.gz,0.161,0.047,3.432,0.001,0.042,0.006,0.996,0.007,-0.01,0.006
4080.ukbb.sumstats.gz,6157_2.ukbb.sumstats.gz,0.294,0.078,3.758,0,0.018,0.005,0.997,0.006,-0.004,0.006
4080.ukbb.sumstats.gz,6157_3.ukbb.sumstats.gz,-0.245,0.04,-6.088,1.15E-09,0.058,0.008,0.997,0.007,0.001,0.006
4080.ukbb.sumstats.gz,6158_1.ukbb.sumstats.gz,0.188,0.087,2.147,0.032,0.104,0.041,0.999,0.006,-0.007,0.006
4080.ukbb.sumstats.gz,6159_100.ukbb.sumstats.gz,-0.013,0.026,-0.499,0.617,0.055,0.003,1.037,0.009,0.026,0.007
4080.ukbb.sumstats.gz,6159_1.ukbb.sumstats.gz,-0.084,0.034,-2.5,0.012,0.045,0.003,1.003,0.009,-0.073,0.008
4080.ukbb.sumstats.gz,6159_2.ukbb.sumstats.gz,-0.01,0.068,-0.142,0.887,0.007,0.001,0.996,0.006,-0.02,0.007
4080.ukbb.sumstats.gz,6159_3.ukbb.sumstats.gz,0.012,0.031,0.395,0.693,0.033,0.002,1.025,0.008,-0.012,0.007
4080.ukbb.sumstats.gz,6159_4.ukbb.sumstats.gz,0.001,0.028,0.032,0.975,0.039,0.002,1.025,0.009,-0.003,0.006
4080.ukbb.sumstats.gz,6159_5.ukbb.sumstats.gz,0.011,0.038,0.285,0.775,0.022,0.002,1.006,0.007,-0.041,0.007
4080.ukbb.sumstats.gz,6159_6.ukbb.sumstats.gz,0.105,0.035,2.997,0.003,0.024,0.002,1.019,0.007,0.018,0.006
4080.ukbb.sumstats.gz,6159_7.ukbb.sumstats.gz,0.093,0.028,3.339,0.001,0.041,0.002,1.015,0.008,0.026,0.007
4080.ukbb.sumstats.gz,6159_8.ukbb.sumstats.gz,0.184,0.052,3.524,0,0.01,0.002,1.004,0.007,-0.001,0.007
4080.ukbb.sumstats.gz,6162_1.ukbb.sumstats.gz,-0.066,0.031,-2.097,0.036,0.024,0.002,1.01,0.007,0.009,0.007
4080.ukbb.sumstats.gz,6162_2.ukbb.sumstats.gz,-0.027,0.033,-0.809,0.419,0.033,0.002,1.035,0.009,0.011,0.007
4080.ukbb.sumstats.gz,6162_3.ukbb.sumstats.gz,-0.019,0.037,-0.524,0.601,0.022,0.002,1.027,0.007,0.026,0.006
4080.ukbb.sumstats.gz,6162_4.ukbb.sumstats.gz,-0.134,0.036,-3.764,0,0.025,0.002,1.025,0.007,-0.073,0.007
4080.ukbb.sumstats.gz,6164_100.ukbb.sumstats.gz,0.092,0.033,2.752,0.006,0.024,0.002,1.017,0.007,0.015,0.006
4080.ukbb.sumstats.gz,6164_1.ukbb.sumstats.gz,-0.115,0.029,-4.026,5.67E-05,0.037,0.002,1.041,0.007,0.001,0.006
4080.ukbb.sumstats.gz,6164_2.ukbb.sumstats.gz,-0.084,0.026,-3.256,0.001,0.047,0.002,1.012,0.008,-0.077,0.006
4080.ukbb.sumstats.gz,6164_3.ukbb.sumstats.gz,-0.154,0.033,-4.729,2.25E-06,0.022,0.002,1.01,0.007,-0.072,0.006
4080.ukbb.sumstats.gz,6164_4.ukbb.sumstats.gz,-0.097,0.029,-3.348,0.001,0.039,0.002,1.005,0.008,-0.015,0.007
4080.ukbb.sumstats.gz,6164_5.ukbb.sumstats.gz,-0.051,0.026,-1.944,0.052,0.034,0.002,1.006,0.007,-0.007,0.006
4080.ukbb.sumstats.gz,6177_100.ukbb.sumstats.gz,-0.684,0.025,-27.532,7.24E-167,0.09,0.005,1.033,0.01,-0.105,0.009
4080.ukbb.sumstats.gz,6177_1.ukbb.sumstats.gz,0.478,0.034,14.051,7.61E-45,0.069,0.006,1.033,0.014,0.044,0.008
4080.ukbb.sumstats.gz,6177_2.ukbb.sumstats.gz,0.755,0.021,35.938,7.93E-283,0.105,0.006,1.032,0.01,0.127,0.01
4080.ukbb.sumstats.gz,6177_3.ukbb.sumstats.gz,0.163,0.073,2.239,0.025,0.014,0.006,1.011,0.007,0.004,0.006
4080.ukbb.sumstats.gz,6179_100.ukbb.sumstats.gz,0.078,0.036,2.17,0.03,0.03,0.002,1.009,0.007,-0.051,0.007
4080.ukbb.sumstats.gz,6179_1.ukbb.sumstats.gz,0.007,0.039,0.168,0.867,0.027,0.002,1.004,0.007,0.056,0.007
4080.ukbb.sumstats.gz,6179_2.ukbb.sumstats.gz,-0.174,0.033,-5.237,1.63E-07,0.024,0.002,1.008,0.007,0.044,0.007
4080.ukbb.sumstats.gz,6179_3.ukbb.sumstats.gz,-0.177,0.042,-4.178,2.94E-05,0.012,0.002,0.998,0.006,-0.002,0.006
4080.ukbb.sumstats.gz,6179_4.ukbb.sumstats.gz,-0.078,0.046,-1.689,0.091,0.011,0.001,0.989,0.006,-0.029,0.006
4080.ukbb.sumstats.gz,6179_6.ukbb.sumstats.gz,-0.118,0.076,-1.56,0.119,0.006,0.001,1.001,0.007,-0.004,0.007
4080.ukbb.sumstats.gz,767.ukbb.sumstats.gz,-0.011,0.05,-0.21,0.834,0.02,0.003,1.007,0.007,-0.047,0.006
4080.ukbb.sumstats.gz,777.ukbb.sumstats.gz,0.18,0.04,4.458,8.27E-06,0.022,0.003,1.016,0.007,-0.005,0.006
4080.ukbb.sumstats.gz,78.ukbb.sumstats.gz,0.047,0.032,1.479,0.139,0.295,0.033,1.085,0.034,-0.005,0.011
4080.ukbb.sumstats.gz,796.ukbb.sumstats.gz,0.025,0.072,0.348,0.728,0.012,0.003,1.007,0.007,-0.015,0.006
4080.ukbb.sumstats.gz,806.ukbb.sumstats.gz,0.168,0.024,7.021,2.21E-12,0.08,0.005,1.031,0.009,0.051,0.006
4080.ukbb.sumstats.gz,816.ukbb.sumstats.gz,0.157,0.024,6.511,7.45E-11,0.087,0.005,1.036,0.009,0.037,0.007
4080.ukbb.sumstats.gz,826.ukbb.sumstats.gz,0.157,0.036,4.398,1.09E-05,0.031,0.003,1.002,0.006,0.004,0.006
4080.ukbb.sumstats.gz,845.ukbb.sumstats.gz,-0.186,0.025,-7.545,4.53E-14,0.085,0.004,1.062,0.01,-0.092,0.007
4080.ukbb.sumstats.gz,864.ukbb.sumstats.gz,0.093,0.031,3.047,0.002,0.042,0.002,1.01,0.008,0.04,0.007
4080.ukbb.sumstats.gz,874.ukbb.sumstats.gz,0.148,0.027,5.376,7.63E-08,0.047,0.003,1.007,0.008,0.026,0.007
4080.ukbb.sumstats.gz,884.ukbb.sumstats.gz,-0.002,0.033,-0.065,0.948,0.043,0.003,1.011,0.008,0.045,0.008
4080.ukbb.sumstats.gz,894.ukbb.sumstats.gz,0.058,0.03,1.926,0.054,0.032,0.002,1.01,0.007,0.052,0.006
4080.ukbb.sumstats.gz,90088.ukbb.sumstats.gz,-0.103,0.035,-2.923,0.003,0.09,0.008,1.001,0.007,-0.053,0.006
4080.ukbb.sumstats.gz,904.ukbb.sumstats.gz,-0.017,0.03,-0.573,0.567,0.039,0.002,1.014,0.008,-0.014,0.006
4080.ukbb.sumstats.gz,914.ukbb.sumstats.gz,0.143,0.039,3.695,0,0.036,0.003,0.991,0.007,-0.011,0.007
4080.ukbb.sumstats.gz,924.ukbb.sumstats.gz,-0.215,0.021,-10.053,8.92E-24,0.078,0.003,1.027,0.01,-0.086,0.007
4080.ukbb.sumstats.gz,943.ukbb.sumstats.gz,-0.082,0.027,-2.982,0.003,0.036,0.002,1.016,0.008,-0.03,0.006
4080.ukbb.sumstats.gz,971.ukbb.sumstats.gz,0.075,0.036,2.108,0.035,0.034,0.003,1.007,0.008,0.05,0.006
4080.ukbb.sumstats.gz,981.ukbb.sumstats.gz,-0.037,0.037,-0.995,0.32,0.026,0.003,1.011,0.007,0.009,0.006
4080.ukbb.sumstats.gz,addSS_LBC1936.txt.tab.sumstats.gz,NA,NA,NA,NA,-0.121,0.396,0.994,0.006,-6.68E-06,0.006
4080.ukbb.sumstats.gz,adipogen.discovery.eur_.meta_.public.release.txt.tab.sumstats.gz,-0.052,0.047,-1.12,0.263,0.116,0.026,0.964,0.012,-0.001,0.006
4080.ukbb.sumstats.gz,Albagha_Gwas_P_Haycock.csv.tab.sumstats.gz,-0.105,0.083,-1.268,0.205,0.438,0.157,1.025,0.008,-0.001,0.007
4080.ukbb.sumstats.gz,All_ancestries_SNP_gwas_mc_merge_nogc.tbl.uniq.gz.tab.sumstats.gz,0.111,0.022,5.074,3.89E-07,0.145,0.008,0.674,0.011,0.001,0.007
4080.ukbb.sumstats.gz,Allele.reorder.1001.assoc.tsv.gz.tab.sumstats.gz,0.062,0.079,0.787,0.431,0.031,0.014,0.994,0.007,0.01,0.006
4080.ukbb.sumstats.gz,als.sumstats.lmm.txt.tab.sumstats.gz,0.04,0.081,0.502,0.616,0.045,0.015,1.098,0.008,0.003,0.008
4080.ukbb.sumstats.gz,als.sumstats.meta.txt.tab.sumstats.gz,0.021,0.067,0.313,0.754,0.051,0.013,0.994,0.006,0.004,0.006
4080.ukbb.sumstats.gz,ANALYSIS_NEW_QC_2015_SE1.txt.tab.sumstats.gz,-0.068,0.117,-0.578,0.563,0.041,0.043,1.017,0.006,0.003,0.005
4080.ukbb.sumstats.gz,avg8CRT_QIMR_021209.txt.tab.sumstats.gz,NA,NA,NA,NA,-0.055,0.304,0.992,0.006,0.006,0.007
4080.ukbb.sumstats.gz,B37.ukbb.sumstats.gz,0.032,0.224,0.142,0.887,0.001,0.001,1.002,0.006,-0.004,0.006
4080.ukbb.sumstats.gz,BEurope-Bmd-As-C-Gwas-SumStats.txt.gz.tab.sumstats.gz,0.033,0.03,1.117,0.264,0.378,0.041,1.081,0.033,0.017,0.011
4080.ukbb.sumstats.gz,BEurope-Bua-As-C-Gwas-SumStats.txt.gz.tab.sumstats.gz,0.024,0.034,0.707,0.48,0.334,0.037,1.066,0.032,0.009,0.011
4080.ukbb.sumstats.gz,BEurope-Sos-As-C-Gwas-SumStats.txt.gz.tab.sumstats.gz,0.038,0.028,1.335,0.182,0.372,0.04,1.08,0.031,0.021,0.01
4080.ukbb.sumstats.gz,Biobank2-British-FracA-As-C-Gwas-SumStats-30112017.txt.gz.tab.sumstats.gz,-0.054,0.032,-1.706,0.088,0.025,0.002,1.034,0.009,0.006,0.006
4080.ukbb.sumstats.gz,bmi_dom_dev.txt.gz.tab.sumstats.gz,0.201,0.142,1.415,0.157,0.003,0.003,0.999,0.005,-0.008,0.004
4080.ukbb.sumstats.gz,bNGF_noBMI.data.eaf.tab.sumstats.gz,0.074,0.098,0.756,0.45,0.216,0.137,0.996,0.008,0,0.006
4080.ukbb.sumstats.gz,body_fat_percentage_GWAS_PLUS_MC_ALL_ancestry_se_Sex_combined_for_locus_zoom_plot.TBL.txt.tab.sumstats.gz,0.142,0.034,4.215,2.50E-05,0.109,0.008,0.903,0.006,-0.003,0.007
4080.ukbb.sumstats.gz,Brain_2015_Goris_OCB.meta.tab.sumstats.gz,NA,NA,NA,NA,-0.118,0.153,0.993,0.007,0.009,0.008
4080.ukbb.sumstats.gz,BW3_EUR_summary_stats.txt.gz.tab.sumstats.gz,-0.195,0.027,-7.154,8.45E-13,0.104,0.007,1.042,0.01,-0.011,0.007
4080.ukbb.sumstats.gz,BW3_Transethnic_summary_stats.txt.gz.tab.sumstats.gz,-0.196,0.027,-7.223,5.07E-13,0.099,0.006,1.033,0.01,-0.009,0.007
4080.ukbb.sumstats.gz,C44.ukbb.sumstats.gz,0.02,0.047,0.432,0.666,0.01,0.002,1.01,0.009,0.017,0.006
4080.ukbb.sumstats.gz,C4D_CAD_DISCOVERY_METAANALYSIS_UPDATE.TXT.tab.sumstats.gz,0.473,0.095,4.992,5.98E-07,0.067,0.021,1.061,0.007,0.003,0.007
4080.ukbb.sumstats.gz,C50.ukbb.sumstats.gz,0.009,0.048,0.185,0.853,0.009,0.002,1.003,0.007,0.025,0.006
4080.ukbb.sumstats.gz,C61.ukbb.sumstats.gz,0.023,0.069,0.335,0.738,0.005,0.002,1.018,0.007,0.015,0.006
4080.ukbb.sumstats.gz,cad.add.160614.website.txt.tab.sumstats.gz,0.337,0.03,11.187,4.73E-29,0.068,0.005,0.885,0.008,0.007,0.007
4080.ukbb.sumstats.gz,CARDIoGRAM_GWAS_RESULTS.txt.gz.tab.sumstats.gz,0.328,0.041,7.971,1.58E-15,0.071,0.009,1.026,0.009,0.013,0.008
4080.ukbb.sumstats.gz,cardiogramplusc4d_180814_update_data.txt.tab.all_pos.sumstats.gz,0.36,0.088,4.104,4.06E-05,0.228,0.062,1.047,0.045,0.013,0.034
4080.ukbb.sumstats.gz,CD.gwas_ichip_meta_release.txt.gz.tab.sumstats.gz,0.086,0.119,0.723,0.47,9.784,1.848,13.383,2.217,-0.021,0.245
4080.ukbb.sumstats.gz,CD_trans_ethnic_association_summ_stats_b37.txt.gz.EAS.tab.sumstats.gz,-0.006,0.078,-0.077,0.939,2.298,0.532,1.208,0.077,0.013,0.026
4080.ukbb.sumstats.gz,CD_trans_ethnic_association_summ_stats_b37.txt.gz.Euro.tab.sumstats.gz,0.002,0.043,0.049,0.961,5.143,0.731,0.932,0.192,0.028,0.038
4080.ukbb.sumstats.gz,CD_trans_ethnic_association_summ_stats_b37.txt.gz.IND.tab.sumstats.gz,-0.007,0.155,-0.047,0.963,2.068,1.281,1.049,0.023,-0.007,0.023
4080.ukbb.sumstats.gz,CD_trans_ethnic_association_summ_stats_b37.txt.gz.IRA.tab.sumstats.gz,-0.133,0.141,-0.949,0.343,6.539,2.563,1.024,0.022,0.002,0.021
4080.ukbb.sumstats.gz,CHARGE_160.txt.tab.sumstats.gz,0.08,0.129,0.618,0.537,0.047,0.05,1.005,0.006,0.002,0.006
4080.ukbb.sumstats.gz,CHARGE_161n7.txt.tab.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4080.ukbb.sumstats.gz,CHARGE_180.txt.tab.sumstats.gz,NA,NA,NA,NA,-0.01,0.061,1.006,0.007,0.003,0.006
4080.ukbb.sumstats.gz,CHARGE_181n9.txt.tab.sumstats.gz,-0.039,0.078,-0.502,0.616,0.101,0.044,1,0.006,-0.01,0.005
4080.ukbb.sumstats.gz,CHARGE_N3_ALA.txt.tab.sumstats.gz,-0.027,0.406,-0.066,0.947,0.042,0.062,1.005,0.007,-0.013,0.007
4080.ukbb.sumstats.gz,CHARGE_N3_DHA.txt.tab.sumstats.gz,0.01,0.08,0.129,0.897,0.109,0.053,1,0.007,0.002,0.005
4080.ukbb.sumstats.gz,CHARGE_N3_DPA.txt.tab.sumstats.gz,0.008,0.066,0.114,0.909,0.173,0.102,1.011,0.007,-0.007,0.006
4080.ukbb.sumstats.gz,CHARGE_N3_EPA.txt.tab.sumstats.gz,NA,NA,NA,NA,-0.261,0.058,1.074,0.007,-0.004,0.005
4080.ukbb.sumstats.gz,CHIC_Summary_Benyamin2014.txt.gz.tab.sumstats.gz,-0.15,0.051,-2.917,0.004,0.026,0.004,1.003,0.009,0.001,0.008
4080.ukbb.sumstats.gz,Chronotype_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz.tab.sumstats.gz,0.04,0.027,1.463,0.143,0.099,0.006,1.019,0.008,-0.019,0.007
4080.ukbb.sumstats.gz,ckqny.scz2snpres.gz.tab.sumstats.gz,-0.039,0.023,-1.698,0.09,0.447,0.016,1.04,0.011,0.002,0.007
4080.ukbb.sumstats.gz,CTACK_noBMI.data.eaf.tab.sumstats.gz,-0.202,1.495,-0.135,0.893,0.035,0.121,1.001,0.008,0.001,0.006
4080.ukbb.sumstats.gz,Cu_autosomes.txt.tab.sumstats.gz,NA,NA,NA,NA,-0.079,0.182,1.017,0.007,0.008,0.005
4080.ukbb.sumstats.gz,D12.ukbb.sumstats.gz,-0.104,0.051,-2.022,0.043,0.009,0.001,1.004,0.006,0.022,0.006
4080.ukbb.sumstats.gz,D25.ukbb.sumstats.gz,0.078,0.064,1.217,0.224,0.006,0.001,0.993,0.006,-0.003,0.006
4080.ukbb.sumstats.gz,DIAGRAM_Gaulton_2015.txt.tab.all_pos.sumstats.gz,0.333,0.096,3.459,0.001,5.389,1.205,1.499,0.733,1.09E-05,0.153
4080.ukbb.sumstats.gz,diagram.mega-meta.txt.tab.all_pos.sumstats.gz,0.229,0.033,6.847,7.52E-12,0.07,0.007,0.967,0.01,-0.002,0.007
4080.ukbb.sumstats.gz,DIAGRAM.metabochip.txt.tab.sumstats.gz,0.25,0.039,6.46,1.05E-10,0.744,0.142,1.01,0.073,-0.033,0.031
4080.ukbb.sumstats.gz,DIAGRAM.noWTCCC.out.gz.tab.sumstats.gz,0.235,0.051,4.64,3.48E-06,0.038,0.009,1.08,0.007,0.002,0.005
4080.ukbb.sumstats.gz,DIAGRAMv3.2012DEC17.txt.tab.all_pos.sumstats.gz,0.27,0.037,7.215,5.41E-13,0.551,0.06,1.014,0.008,0,0.007
4080.ukbb.sumstats.gz,DS_Full.txt.gz.tab.sumstats.gz,-0.023,0.036,-0.648,0.517,0.049,0.004,0.998,0.008,-0.008,0.006
4080.ukbb.sumstats.gz,E03.ukbb.sumstats.gz,-0.257,0.504,-0.51,0.61,0,0.001,0.999,0.006,0.004,0.006
4080.ukbb.sumstats.gz,E04.ukbb.sumstats.gz,-0.002,0.064,-0.039,0.969,0.005,0.001,0.992,0.006,0.001,0.006
4080.ukbb.sumstats.gz,EAGLE_20151029_n10k_GC1_Psort_BETA.se.rsid.tbl.tab.sumstats.gz,0.054,0.079,0.685,0.493,0.074,0.03,0.992,0.008,0.005,0.007
4080.ukbb.sumstats.gz,EAGLE_20151029_n10k_NOGC1_Psort_BETA.se.rsid.tbl.tab.sumstats.gz,0.054,0.079,0.685,0.493,0.075,0.031,1.007,0.008,0.005,0.007
4080.ukbb.sumstats.gz,EduYears_Discovery_5000.txt.tab.sumstats.gz,-0.415,0.296,-1.403,0.161,0.489,0.066,11.957,0.237,-0.539,0.411
4080.ukbb.sumstats.gz,EduYears_Main_Men.txt.gz.tab.sumstats.gz,-0.178,0.019,-9.482,2.50E-21,0.145,0.007,0.951,0.008,-0.015,0.006
4080.ukbb.sumstats.gz,EduYears_Main.txt.gz.tab.sumstats.gz,-0.185,0.017,-11.179,5.19E-29,0.126,0.005,0.931,0.01,-0.025,0.006
4080.ukbb.sumstats.gz,EduYears_Main_Women.txt.gz.tab.sumstats.gz,-0.186,0.023,-8.13,4.31E-16,0.138,0.006,0.948,0.009,-0.021,0.006
4080.ukbb.sumstats.gz,EduYears_Pooled_5000.txt.tab.sumstats.gz,0.365,0.459,0.794,0.427,0.477,0.056,12.457,0.32,-1.904,0.484
4080.ukbb.sumstats.gz,EGG_BW2_DISCOVERY.txt.gz.tab.sumstats.gz,-0.295,0.049,-6.048,1.47E-09,0.113,0.018,1.005,0.006,0.007,0.006
4080.ukbb.sumstats.gz,EGG-GWAS-BL.txt.gz.tab.sumstats.gz,-0.177,0.054,-3.282,0.001,0.171,0.023,0.993,0.007,0.003,0.007
4080.ukbb.sumstats.gz,EGG_HC_DISCOVERY.txt.gz.tab.sumstats.gz,-0.139,0.058,-2.39,0.017,0.219,0.046,0.992,0.007,-0.004,0.007
4080.ukbb.sumstats.gz,EGG_Obesity_Meta_Analysis_1.txt.gz.tab.sumstats.gz,0.021,0.039,0.554,0.579,0.417,0.046,0.922,0.008,0.004,0.006
4080.ukbb.sumstats.gz,ENIGMA2_MeanAccumbens_Combined_GenomeControlled_Jan23.tbl.gz.tab.sumstats.gz,0.046,0.092,0.501,0.617,0.093,0.037,0.979,0.007,-0.01,0.007
4080.ukbb.sumstats.gz,ENIGMA2_MeanAmygdala_Combined_GenomeControlled_Jan23.tbl.gz.tab.sumstats.gz,NA,NA,NA,NA,-0.019,0.032,1.002,0.006,0,0.006
4080.ukbb.sumstats.gz,ENIGMA2_MeanCaudate_Combined_GenomeControlled_Jan23.tbl.gz.tab.sumstats.gz,-0.015,0.049,-0.3,0.764,0.249,0.04,0.969,0.007,0.002,0.006
4080.ukbb.sumstats.gz,ENIGMA2_MeanHippocampus_Combined_GenomeControlled_Jan23.tbl.gz.tab.sumstats.gz,0.094,0.064,1.477,0.14,0.143,0.039,0.987,0.007,-0.018,0.006
4080.ukbb.sumstats.gz,ENIGMA2_MeanPallidum_Combined_GenomeControlled_Jan23.tbl.gz.tab.sumstats.gz,0.006,0.066,0.091,0.927,0.163,0.041,0.977,0.007,-0.002,0.007
4080.ukbb.sumstats.gz,ENIGMA2_MeanThalamus_Combined_GenomeControlled_Jan23.tbl.gz.tab.sumstats.gz,-0.054,0.063,-0.848,0.396,0.138,0.037,0.98,0.007,0,0.006
4080.ukbb.sumstats.gz,Eotaxin_noBMI.data.eaf.tab.sumstats.gz,-0.017,0.082,-0.202,0.84,0.105,0.067,1.01,0.008,-0.003,0.006
4080.ukbb.sumstats.gz,EUR.CD.gwas.assoc.gz.tab.sumstats.gz,0.059,0.033,1.801,0.072,0.512,0.058,1.019,0.012,-0.001,0.007
4080.ukbb.sumstats.gz,EUR.IBD.gwas.assoc.gz.tab.sumstats.gz,0.02,0.029,0.684,0.494,0.336,0.034,1.054,0.011,0.008,0.007
4080.ukbb.sumstats.gz,EURO_ALS_SUMMARY_STAT_Al_B.gz.tab.sumstats.gz,0.068,0.038,1.767,0.077,0.266,0.031,0.991,0.008,-0.004,0.006
4080.ukbb.sumstats.gz,EUR.UC.gwas.assoc.gz.tab.sumstats.gz,-0.023,0.034,-0.67,0.503,0.253,0.033,1.052,0.01,0.011,0.007
4080.ukbb.sumstats.gz,F31.ukbb.sumstats.gz,-0.03,0.062,-0.475,0.635,0.005,0.001,0.987,0.007,-0.007,0.006
4080.ukbb.sumstats.gz,F43.ukbb.sumstats.gz,-0.188,0.258,-0.729,0.466,0.001,0.001,1.003,0.005,-0.004,0.006
4080.ukbb.sumstats.gz,fa2stu.MAF0_.005.pos_.out_.gz.tab.sumstats.gz,0.128,0.088,1.468,0.142,0.091,0.043,1.011,0.007,0.002,0.006
4080.ukbb.sumstats.gz,FEV1_SpiroMeta-CHARGE_results_PMID21946350.txt.tab.sumstats.gz,-0.133,0.038,-3.528,0,0.163,0.014,0.892,0.008,0.002,0.007
4080.ukbb.sumstats.gz,FEV1_Z_score.csv.tab.sumstats.gz,-0.09,0.03,-3.025,0.002,0.267,0.018,0.969,0.007,-0.006,0.007
4080.ukbb.sumstats.gz,FF_SpiroMeta-CHARGE_results_PMID21946350.a1a2.txt.tab.sumstats.gz,-0.005,0.041,-0.129,0.897,0.125,0.014,0.928,0.008,-0.008,0.007
4080.ukbb.sumstats.gz,FGFBasic_noBMI.data.eaf.tab.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4080.ukbb.sumstats.gz,final4_ultraclean.assoc.logistic.ADD.tab.sumstats.gz,0.145,0.078,1.855,0.064,1.81,1.251,1.023,0.164,-0.092,0.036
4080.ukbb.sumstats.gz,FinnuncorrNLITUK1UK3hap300_unadjusted.cmh.txt.tab.sumstats.gz,-0.068,0.052,-1.32,0.187,0.316,0.049,1.063,0.011,0,0.009
4080.ukbb.sumstats.gz,FinnuncorrNLITUK3hap250_unadjusted.cmh.txt.tab.sumstats.gz,0.07,0.073,0.966,0.334,0.226,0.065,1.068,0.011,-0.017,0.009
4080.ukbb.sumstats.gz,fn2stu.MAF0_.005.pos_.out_.gz.tab.sumstats.gz,0.115,0.039,2.959,0.003,0.125,0.015,0.977,0.008,-0.012,0.006
4080.ukbb.sumstats.gz,formatted_AA_eGFRcrea_overall_2GC_b36_MAFget005_Nget50.csv.tab.sumstats.gz,-0.2,0.143,-1.399,0.162,0.025,0.025,1.005,0.008,0.005,0.005
4080.ukbb.sumstats.gz,formatted_MA_overall_2GC_b36_MAFget005_Nget50.csv.tab.sumstats.gz,0.294,0.1,2.935,0.003,0.018,0.008,1.004,0.007,0.003,0.006
4080.ukbb.sumstats.gz,formatted_round3meta_CKD_overall_IV_2GC_b36_MAFget005_Nget50_20120725_b37.csv.tab.sumstats.gz,0.233,0.067,3.463,0.001,0.018,0.006,1.016,0.009,0.005,0.008
