Trait1,Trait2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
cad.add.160614.website.txt.tab.sumstats.gz,6143_2.ukbb.sumstats.gz,-0.239,0.061,-3.938,8.23E-05,0.016,0.003,1.005,0.006,-0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6143_3.ukbb.sumstats.gz,-0.201,0.048,-4.214,2.51E-05,0.031,0.003,1.026,0.007,-0.012,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6143_4.ukbb.sumstats.gz,-0.259,0.05,-5.214,1.85E-07,0.031,0.003,1.016,0.007,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6145_100.ukbb.sumstats.gz,-0.279,0.037,-7.444,9.79E-14,0.023,0.002,1.011,0.006,0.004,0.004
cad.add.160614.website.txt.tab.sumstats.gz,6145_1.ukbb.sumstats.gz,0.343,0.05,6.823,8.92E-12,0.014,0.002,1.012,0.007,0.005,0.004
cad.add.160614.website.txt.tab.sumstats.gz,6145_2.ukbb.sumstats.gz,0.031,0.056,0.554,0.579,0.011,0.002,1.01,0.007,-0.006,0.004
cad.add.160614.website.txt.tab.sumstats.gz,6145_3.ukbb.sumstats.gz,0.241,0.078,3.091,0.002,0.006,0.001,1.004,0.006,-0.005,0.004
cad.add.160614.website.txt.tab.sumstats.gz,6145_5.ukbb.sumstats.gz,0.111,0.104,1.074,0.283,0.004,0.001,1.01,0.007,-0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6145_6.ukbb.sumstats.gz,0.218,0.033,6.534,6.42E-11,0.033,0.002,1.027,0.008,0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6147_1.ukbb.sumstats.gz,-0.105,0.046,-2.278,0.023,0.025,0.002,1.115,0.009,0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6147_2.ukbb.sumstats.gz,-0.043,0.059,-0.737,0.461,0.01,0.002,1.065,0.007,0.003,0.004
cad.add.160614.website.txt.tab.sumstats.gz,6147_3.ukbb.sumstats.gz,-0.086,0.1,-0.861,0.389,0.004,0.002,1.136,0.008,-0.008,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6147_4.ukbb.sumstats.gz,-0.105,0.062,-1.679,0.093,0.009,0.002,1.027,0.007,-0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6148_1.ukbb.sumstats.gz,0.413,0.079,5.22,1.79E-07,0.02,0.004,1.007,0.006,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6148_2.ukbb.sumstats.gz,0.003,0.057,0.06,0.953,0.038,0.006,1.02,0.008,0,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6148_3.ukbb.sumstats.gz,0.422,0.877,0.481,0.63,0.001,0.004,1.01,0.006,-0.012,0.004
cad.add.160614.website.txt.tab.sumstats.gz,6148_4.ukbb.sumstats.gz,0.109,0.072,1.52,0.128,0.023,0.004,1.013,0.007,0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6149_100.ukbb.sumstats.gz,-0.147,0.04,-3.641,0,0.037,0.002,1.019,0.008,-0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6149_1.ukbb.sumstats.gz,-0.118,0.04,-2.952,0.003,0.029,0.004,1.031,0.011,0.011,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6149_2.ukbb.sumstats.gz,0.092,0.071,1.296,0.195,0.007,0.001,1.005,0.006,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6149_3.ukbb.sumstats.gz,0.034,0.046,0.733,0.463,0.022,0.002,1.01,0.008,0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6149_4.ukbb.sumstats.gz,0.165,0.05,3.274,0.001,0.014,0.002,1.012,0.007,0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6149_5.ukbb.sumstats.gz,0.054,0.065,0.824,0.41,0.008,0.002,1.004,0.007,0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6149_6.ukbb.sumstats.gz,0.22,0.04,5.53,3.20E-08,0.048,0.003,1.037,0.009,0,0.006
cad.add.160614.website.txt.tab.sumstats.gz,6150_100.ukbb.sumstats.gz,-0.521,0.027,-19.328,3.13E-83,0.114,0.005,1.058,0.016,-0.016,0.007
cad.add.160614.website.txt.tab.sumstats.gz,6150_1.ukbb.sumstats.gz,0.966,0.051,18.863,2.31E-79,0.019,0.002,1.012,0.008,0.01,0.006
cad.add.160614.website.txt.tab.sumstats.gz,6150_2.ukbb.sumstats.gz,0.853,0.046,18.587,4.09E-77,0.022,0.002,1.025,0.008,0.018,0.006
cad.add.160614.website.txt.tab.sumstats.gz,6150_4.ukbb.sumstats.gz,0.434,0.028,15.352,3.45E-53,0.117,0.005,1.059,0.017,0.013,0.007
cad.add.160614.website.txt.tab.sumstats.gz,6151_1.ukbb.sumstats.gz,0.128,0.072,1.784,0.074,0.006,0.002,0.995,0.007,-1.96E-05,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6151_5.ukbb.sumstats.gz,-0.147,0.076,-1.936,0.053,0.007,0.002,1.007,0.007,0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6151_6.ukbb.sumstats.gz,-0.015,0.084,-0.18,0.857,0.005,0.001,0.997,0.007,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6151_7.ukbb.sumstats.gz,0.008,0.068,0.114,0.909,0.009,0.002,1.001,0.007,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6152_100.ukbb.sumstats.gz,0.035,0.031,1.132,0.257,0.077,0.006,1.035,0.017,-0.001,0.006
cad.add.160614.website.txt.tab.sumstats.gz,6152_5.ukbb.sumstats.gz,0.276,0.06,4.572,4.84E-06,0.011,0.002,1.012,0.009,-0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6152_6.ukbb.sumstats.gz,0.261,0.053,4.91,9.10E-07,0.013,0.002,0.985,0.007,-0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6152_7.ukbb.sumstats.gz,0.477,0.084,5.659,1.52E-08,0.006,0.002,1.009,0.008,-0.008,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6152_8.ukbb.sumstats.gz,0.01,0.033,0.31,0.757,0.058,0.006,1.024,0.015,0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6152_9.ukbb.sumstats.gz,-0.1,0.031,-3.203,0.001,0.073,0.006,1.04,0.015,-0.001,0.006
cad.add.160614.website.txt.tab.sumstats.gz,6153_100.ukbb.sumstats.gz,-0.55,0.036,-15.256,1.51E-52,0.067,0.004,1.016,0.009,-0.007,0.006
cad.add.160614.website.txt.tab.sumstats.gz,6153_1.ukbb.sumstats.gz,0.665,0.043,15.403,1.55E-53,0.051,0.006,1.025,0.014,0.008,0.007
cad.add.160614.website.txt.tab.sumstats.gz,6153_2.ukbb.sumstats.gz,0.451,0.033,13.731,6.62E-43,0.106,0.007,1.03,0.012,0.007,0.006
cad.add.160614.website.txt.tab.sumstats.gz,6153_4.ukbb.sumstats.gz,0.097,0.065,1.498,0.134,0.016,0.003,1.001,0.006,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6154_100.ukbb.sumstats.gz,-0.442,0.032,-13.791,2.89E-43,0.054,0.003,1.029,0.009,0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6154_1.ukbb.sumstats.gz,0.793,0.045,17.765,1.33E-70,0.021,0.002,1.013,0.007,0.009,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6154_2.ukbb.sumstats.gz,0.089,0.046,1.934,0.053,0.022,0.002,0.998,0.006,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6154_3.ukbb.sumstats.gz,0.205,0.033,6.128,8.89E-10,0.043,0.002,1.025,0.008,-0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6154_5.ukbb.sumstats.gz,0.389,0.048,8.163,3.26E-16,0.018,0.002,1.02,0.007,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6154_6.ukbb.sumstats.gz,0.285,0.064,4.45,8.59E-06,0.012,0.002,1.008,0.007,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6155_100.ukbb.sumstats.gz,0.142,0.031,4.607,4.09E-06,0.03,0.002,0.994,0.007,0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6155_1.ukbb.sumstats.gz,-0.137,0.109,-1.262,0.207,0.003,0.001,1.005,0.006,0,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6155_2.ukbb.sumstats.gz,-0.056,0.066,-0.844,0.399,0.008,0.002,0.999,0.007,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6155_3.ukbb.sumstats.gz,-0.1,0.052,-1.918,0.055,0.013,0.002,0.999,0.007,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6155_4.ukbb.sumstats.gz,-0.223,0.075,-2.971,0.003,0.006,0.002,0.997,0.007,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6155_5.ukbb.sumstats.gz,-0.092,0.064,-1.444,0.149,0.007,0.001,0.995,0.006,0.003,0.004
cad.add.160614.website.txt.tab.sumstats.gz,6155_7.ukbb.sumstats.gz,-0.141,0.035,-3.984,6.76E-05,0.024,0.002,1.007,0.008,-0.005,0.004
cad.add.160614.website.txt.tab.sumstats.gz,6157_100.ukbb.sumstats.gz,0.075,0.061,1.227,0.22,0.041,0.006,0.997,0.006,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6157_2.ukbb.sumstats.gz,0.346,0.085,4.082,4.47E-05,0.019,0.005,0.997,0.006,0.003,0.004
cad.add.160614.website.txt.tab.sumstats.gz,6157_3.ukbb.sumstats.gz,-0.241,0.056,-4.28,1.87E-05,0.054,0.006,0.999,0.007,-0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6158_1.ukbb.sumstats.gz,0.366,0.12,3.06,0.002,0.109,0.042,0.998,0.006,0.002,0.004
cad.add.160614.website.txt.tab.sumstats.gz,6159_100.ukbb.sumstats.gz,-0.206,0.037,-5.648,1.63E-08,0.055,0.003,1.035,0.008,-0.001,0.006
cad.add.160614.website.txt.tab.sumstats.gz,6159_1.ukbb.sumstats.gz,-0.037,0.042,-0.891,0.373,0.045,0.003,1.004,0.009,0.011,0.006
cad.add.160614.website.txt.tab.sumstats.gz,6159_2.ukbb.sumstats.gz,0.09,0.075,1.191,0.234,0.007,0.001,0.996,0.006,0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6159_3.ukbb.sumstats.gz,0.208,0.039,5.306,1.12E-07,0.033,0.002,1.026,0.007,0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6159_4.ukbb.sumstats.gz,0.158,0.034,4.687,2.77E-06,0.039,0.002,1.023,0.009,0.008,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6159_5.ukbb.sumstats.gz,0.208,0.046,4.537,5.72E-06,0.022,0.002,1.006,0.007,-0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6159_6.ukbb.sumstats.gz,0.272,0.041,6.558,5.45E-11,0.024,0.002,1.019,0.008,-0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6159_7.ukbb.sumstats.gz,0.27,0.038,7.083,1.41E-12,0.041,0.002,1.014,0.008,-0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6159_8.ukbb.sumstats.gz,0.312,0.056,5.547,2.90E-08,0.01,0.002,1.003,0.007,-0.002,0.004
cad.add.160614.website.txt.tab.sumstats.gz,6162_1.ukbb.sumstats.gz,0.084,0.042,1.988,0.047,0.025,0.002,1.008,0.007,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6162_2.ukbb.sumstats.gz,-0.264,0.037,-7.184,6.75E-13,0.033,0.002,1.036,0.009,0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6162_3.ukbb.sumstats.gz,-0.13,0.044,-2.958,0.003,0.022,0.002,1.026,0.007,-0.009,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6162_4.ukbb.sumstats.gz,-0.226,0.041,-5.55,2.86E-08,0.025,0.002,1.024,0.007,-0.008,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6164_100.ukbb.sumstats.gz,0.281,0.042,6.663,2.68E-11,0.024,0.002,1.017,0.007,0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6164_1.ukbb.sumstats.gz,-0.222,0.039,-5.672,1.41E-08,0.037,0.002,1.041,0.007,-0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6164_2.ukbb.sumstats.gz,-0.154,0.032,-4.879,1.07E-06,0.047,0.002,1.012,0.008,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6164_3.ukbb.sumstats.gz,-0.242,0.044,-5.488,4.06E-08,0.022,0.002,1.011,0.007,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6164_4.ukbb.sumstats.gz,-0.225,0.035,-6.439,1.20E-10,0.039,0.002,1.005,0.008,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6164_5.ukbb.sumstats.gz,-0.145,0.036,-4.046,5.22E-05,0.034,0.002,1.006,0.007,-0.009,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6177_100.ukbb.sumstats.gz,-0.625,0.035,-17.973,3.17E-72,0.089,0.005,1.032,0.01,-0.014,0.007
cad.add.160614.website.txt.tab.sumstats.gz,6177_1.ukbb.sumstats.gz,0.689,0.039,17.81,5.96E-71,0.069,0.006,1.032,0.014,0.018,0.007
cad.add.160614.website.txt.tab.sumstats.gz,6177_2.ukbb.sumstats.gz,0.521,0.036,14.536,7.20E-48,0.105,0.006,1.031,0.01,0.012,0.006
cad.add.160614.website.txt.tab.sumstats.gz,6177_3.ukbb.sumstats.gz,0.36,0.102,3.536,0,0.009,0.003,1.012,0.007,-0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6179_100.ukbb.sumstats.gz,0.164,0.034,4.861,1.17E-06,0.03,0.002,1.01,0.007,0.009,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6179_1.ukbb.sumstats.gz,-0.122,0.038,-3.21,0.001,0.027,0.002,1.006,0.007,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6179_2.ukbb.sumstats.gz,-0.155,0.038,-4.045,5.24E-05,0.024,0.002,1.009,0.007,-0.008,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6179_3.ukbb.sumstats.gz,-0.165,0.055,-3.001,0.003,0.012,0.002,0.998,0.006,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,6179_4.ukbb.sumstats.gz,-0.122,0.048,-2.543,0.011,0.011,0.001,0.99,0.006,-0.012,0.004
cad.add.160614.website.txt.tab.sumstats.gz,6179_6.ukbb.sumstats.gz,-0.138,0.075,-1.84,0.066,0.006,0.002,1.001,0.007,-0.006,0.004
cad.add.160614.website.txt.tab.sumstats.gz,767.ukbb.sumstats.gz,0.138,0.055,2.504,0.012,0.019,0.003,1.009,0.007,-0.002,0.004
cad.add.160614.website.txt.tab.sumstats.gz,777.ukbb.sumstats.gz,0.227,0.057,3.963,7.39E-05,0.022,0.003,1.017,0.007,0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,78.ukbb.sumstats.gz,0.058,0.025,2.298,0.022,0.295,0.034,1.082,0.035,0.009,0.007
cad.add.160614.website.txt.tab.sumstats.gz,796.ukbb.sumstats.gz,0.077,0.075,1.023,0.306,0.012,0.003,1.007,0.007,-0.003,0.004
cad.add.160614.website.txt.tab.sumstats.gz,806.ukbb.sumstats.gz,0.206,0.033,6.19,6.01E-10,0.08,0.004,1.03,0.009,0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,816.ukbb.sumstats.gz,0.202,0.032,6.245,4.23E-10,0.087,0.004,1.036,0.009,0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,826.ukbb.sumstats.gz,0.232,0.049,4.728,2.27E-06,0.031,0.003,1.002,0.007,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,845.ukbb.sumstats.gz,-0.324,0.031,-10.358,3.86E-25,0.085,0.005,1.063,0.009,0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,864.ukbb.sumstats.gz,-0.034,0.037,-0.931,0.352,0.042,0.002,1.01,0.008,-0.001,0.006
cad.add.160614.website.txt.tab.sumstats.gz,874.ukbb.sumstats.gz,0.066,0.036,1.81,0.07,0.047,0.003,1.006,0.008,0.011,0.005
cad.add.160614.website.txt.tab.sumstats.gz,884.ukbb.sumstats.gz,-0.055,0.04,-1.379,0.168,0.042,0.003,1.012,0.008,0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,894.ukbb.sumstats.gz,0.087,0.045,1.916,0.055,0.032,0.002,1.01,0.008,0.008,0.005
cad.add.160614.website.txt.tab.sumstats.gz,90088.ukbb.sumstats.gz,-0.16,0.046,-3.512,0,0.09,0.008,1.001,0.007,-0.003,0.004
cad.add.160614.website.txt.tab.sumstats.gz,904.ukbb.sumstats.gz,-0.02,0.038,-0.528,0.598,0.038,0.002,1.015,0.008,-0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,914.ukbb.sumstats.gz,0.136,0.045,2.986,0.003,0.037,0.003,0.99,0.008,-0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,924.ukbb.sumstats.gz,-0.349,0.03,-11.58,5.22E-31,0.078,0.003,1.027,0.01,-0.005,0.006
cad.add.160614.website.txt.tab.sumstats.gz,943.ukbb.sumstats.gz,-0.173,0.034,-5.034,4.80E-07,0.035,0.002,1.016,0.008,-0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,971.ukbb.sumstats.gz,0.076,0.039,1.986,0.047,0.034,0.003,1.007,0.008,0.002,0.004
cad.add.160614.website.txt.tab.sumstats.gz,981.ukbb.sumstats.gz,-0.216,0.048,-4.498,6.87E-06,0.025,0.002,1.011,0.007,0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,addSS_LBC1936.txt.tab.sumstats.gz,NA,NA,NA,NA,-0.102,0.391,0.995,0.006,-0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,adipogen.discovery.eur_.meta_.public.release.txt.tab.sumstats.gz,-0.144,0.065,-2.215,0.027,0.114,0.024,0.964,0.012,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,Albagha_Gwas_P_Haycock.csv.tab.sumstats.gz,-0.18,0.107,-1.692,0.091,0.401,0.155,1.027,0.008,0.024,0.005
cad.add.160614.website.txt.tab.sumstats.gz,All_ancestries_SNP_gwas_mc_merge_nogc.tbl.uniq.gz.tab.sumstats.gz,0.205,0.027,7.471,7.95E-14,0.144,0.008,0.677,0.01,0.008,0.005
cad.add.160614.website.txt.tab.sumstats.gz,Allele.reorder.1001.assoc.tsv.gz.tab.sumstats.gz,0.018,0.102,0.179,0.858,0.032,0.013,0.993,0.007,-0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,als.sumstats.lmm.txt.tab.sumstats.gz,-0.108,0.099,-1.094,0.274,0.038,0.015,1.103,0.008,0.042,0.005
cad.add.160614.website.txt.tab.sumstats.gz,als.sumstats.meta.txt.tab.sumstats.gz,-0.065,0.078,-0.833,0.405,0.047,0.013,0.996,0.006,0.037,0.004
cad.add.160614.website.txt.tab.sumstats.gz,ANALYSIS_NEW_QC_2015_SE1.txt.tab.sumstats.gz,-0.29,0.233,-1.247,0.212,0.035,0.042,1.02,0.005,-0.002,0.004
cad.add.160614.website.txt.tab.sumstats.gz,avg8CRT_QIMR_021209.txt.tab.sumstats.gz,NA,NA,NA,NA,-0.126,0.292,0.994,0.006,0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,B37.ukbb.sumstats.gz,0.297,0.539,0.551,0.582,0.001,0.001,1.001,0.006,-0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,BEurope-Bmd-As-C-Gwas-SumStats.txt.gz.tab.sumstats.gz,0.066,0.028,2.391,0.017,0.375,0.04,1.08,0.03,-0.002,0.007
cad.add.160614.website.txt.tab.sumstats.gz,BEurope-Bua-As-C-Gwas-SumStats.txt.gz.tab.sumstats.gz,0.076,0.029,2.634,0.008,0.332,0.036,1.064,0.029,-0.004,0.007
cad.add.160614.website.txt.tab.sumstats.gz,BEurope-Sos-As-C-Gwas-SumStats.txt.gz.tab.sumstats.gz,0.058,0.028,2.123,0.034,0.368,0.039,1.081,0.028,-0.002,0.007
cad.add.160614.website.txt.tab.sumstats.gz,Biobank2-British-FracA-As-C-Gwas-SumStats-30112017.txt.gz.tab.sumstats.gz,0.024,0.039,0.609,0.543,0.025,0.002,1.032,0.008,5.34E-05,0.005
cad.add.160614.website.txt.tab.sumstats.gz,bmi_dom_dev.txt.gz.tab.sumstats.gz,-0.037,0.122,-0.301,0.764,0.003,0.003,0.999,0.005,0.003,0.003
cad.add.160614.website.txt.tab.sumstats.gz,bNGF_noBMI.data.eaf.tab.sumstats.gz,0.122,0.115,1.062,0.288,0.24,0.139,0.995,0.008,-0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,body_fat_percentage_GWAS_PLUS_MC_ALL_ancestry_se_Sex_combined_for_locus_zoom_plot.TBL.txt.tab.sumstats.gz,0.222,0.046,4.872,1.11E-06,0.107,0.008,0.905,0.006,0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,Brain_2015_Goris_OCB.meta.tab.sumstats.gz,NA,NA,NA,NA,-0.114,0.159,0.992,0.007,-0.002,0.006
cad.add.160614.website.txt.tab.sumstats.gz,BW3_EUR_summary_stats.txt.gz.tab.sumstats.gz,-0.177,0.032,-5.486,4.12E-08,0.103,0.007,1.041,0.009,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,BW3_Transethnic_summary_stats.txt.gz.tab.sumstats.gz,-0.177,0.032,-5.537,3.08E-08,0.097,0.006,1.034,0.01,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,C44.ukbb.sumstats.gz,-0.097,0.064,-1.525,0.127,0.01,0.002,1.011,0.009,-0.009,0.005
cad.add.160614.website.txt.tab.sumstats.gz,C4D_CAD_DISCOVERY_METAANALYSIS_UPDATE.TXT.tab.sumstats.gz,1.17,0.115,10.18,2.44E-24,0.071,0.02,1.059,0.007,0.385,0.007
cad.add.160614.website.txt.tab.sumstats.gz,C50.ukbb.sumstats.gz,-0.058,0.066,-0.876,0.381,0.009,0.002,1.002,0.008,0.008,0.005
cad.add.160614.website.txt.tab.sumstats.gz,C61.ukbb.sumstats.gz,0.207,0.098,2.123,0.034,0.004,0.002,1.019,0.007,-0.012,0.005
cad.add.160614.website.txt.tab.sumstats.gz,cad.add.160614.website.txt.tab.sumstats.gz,1,3.14E-07,3186503.456,0,0.067,0.005,0.884,0.008,0.884,0.008
cad.add.160614.website.txt.tab.sumstats.gz,CARDIoGRAM_GWAS_RESULTS.txt.gz.tab.sumstats.gz,1.311,0.062,21.189,1.20E-99,0.071,0.009,1.026,0.009,0.2,0.008
cad.add.160614.website.txt.tab.sumstats.gz,cardiogramplusc4d_180814_update_data.txt.tab.all_pos.sumstats.gz,1.025,0.041,25.173,7.83E-140,0.225,0.06,1.053,0.043,0.255,0.049
cad.add.160614.website.txt.tab.sumstats.gz,CD.gwas_ichip_meta_release.txt.gz.tab.sumstats.gz,-0.129,0.182,-0.706,0.48,9.624,1.892,13.581,2.45,0.303,0.22
cad.add.160614.website.txt.tab.sumstats.gz,CD_trans_ethnic_association_summ_stats_b37.txt.gz.EAS.tab.sumstats.gz,0.062,0.123,0.506,0.613,2.175,0.517,1.221,0.084,-0.032,0.022
cad.add.160614.website.txt.tab.sumstats.gz,CD_trans_ethnic_association_summ_stats_b37.txt.gz.Euro.tab.sumstats.gz,-0.013,0.056,-0.237,0.812,5.139,0.749,0.884,0.179,0.037,0.036
cad.add.160614.website.txt.tab.sumstats.gz,CD_trans_ethnic_association_summ_stats_b37.txt.gz.IND.tab.sumstats.gz,-0.256,0.206,-1.241,0.215,1.675,1.259,1.059,0.023,0.018,0.017
cad.add.160614.website.txt.tab.sumstats.gz,CD_trans_ethnic_association_summ_stats_b37.txt.gz.IRA.tab.sumstats.gz,-0.354,0.177,-2.006,0.045,5.628,2.505,1.033,0.02,0.035,0.016
cad.add.160614.website.txt.tab.sumstats.gz,CHARGE_160.txt.tab.sumstats.gz,0.171,0.196,0.873,0.383,0.04,0.049,1.006,0.006,-0.005,0.004
cad.add.160614.website.txt.tab.sumstats.gz,CHARGE_161n7.txt.tab.sumstats.gz,0.387,1.176,0.329,0.742,0.027,0.057,1.02,0.006,-0.002,0.004
cad.add.160614.website.txt.tab.sumstats.gz,CHARGE_180.txt.tab.sumstats.gz,NA,NA,NA,NA,-0.027,0.058,1.009,0.007,0.002,0.004
cad.add.160614.website.txt.tab.sumstats.gz,CHARGE_181n9.txt.tab.sumstats.gz,0.01,0.104,0.093,0.926,0.104,0.044,1,0.006,0.006,0.004
cad.add.160614.website.txt.tab.sumstats.gz,CHARGE_N3_ALA.txt.tab.sumstats.gz,-0.07,0.491,-0.142,0.887,0.037,0.062,1.007,0.007,-0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,CHARGE_N3_DHA.txt.tab.sumstats.gz,-0.189,0.114,-1.657,0.098,0.121,0.052,0.998,0.006,-0.005,0.004
cad.add.160614.website.txt.tab.sumstats.gz,CHARGE_N3_DPA.txt.tab.sumstats.gz,-0.142,0.112,-1.261,0.207,0.192,0.111,1.009,0.007,-0.002,0.004
cad.add.160614.website.txt.tab.sumstats.gz,CHARGE_N3_EPA.txt.tab.sumstats.gz,NA,NA,NA,NA,-0.248,0.058,1.073,0.007,-0.014,0.005
cad.add.160614.website.txt.tab.sumstats.gz,CHIC_Summary_Benyamin2014.txt.gz.tab.sumstats.gz,-0.071,0.069,-1.026,0.305,0.026,0.004,1.001,0.009,-0.009,0.007
cad.add.160614.website.txt.tab.sumstats.gz,Chronotype_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz.tab.sumstats.gz,0.029,0.034,0.872,0.383,0.102,0.006,1.014,0.007,0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,ckqny.scz2snpres.gz.tab.sumstats.gz,-0.016,0.027,-0.6,0.549,0.45,0.016,1.032,0.011,0.041,0.006
cad.add.160614.website.txt.tab.sumstats.gz,CTACK_noBMI.data.eaf.tab.sumstats.gz,-0.044,0.306,-0.145,0.885,0.039,0.113,1.002,0.007,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,Cu_autosomes.txt.tab.sumstats.gz,NA,NA,NA,NA,-0.081,0.169,1.017,0.007,0,0.004
cad.add.160614.website.txt.tab.sumstats.gz,D12.ukbb.sumstats.gz,-0.066,0.058,-1.136,0.256,0.009,0.001,1.004,0.006,0.005,0.004
cad.add.160614.website.txt.tab.sumstats.gz,D25.ukbb.sumstats.gz,-0.085,0.075,-1.137,0.255,0.006,0.001,0.993,0.006,0.01,0.004
cad.add.160614.website.txt.tab.sumstats.gz,DIAGRAM_Gaulton_2015.txt.tab.all_pos.sumstats.gz,0.401,0.056,7.109,1.17E-12,5.367,1.117,1.444,0.823,-0.069,0.124
cad.add.160614.website.txt.tab.sumstats.gz,diagram.mega-meta.txt.tab.all_pos.sumstats.gz,0.319,0.049,6.491,8.51E-11,0.069,0.006,0.968,0.009,0.046,0.006
cad.add.160614.website.txt.tab.sumstats.gz,DIAGRAM.metabochip.txt.tab.sumstats.gz,0.384,0.053,7.269,3.63E-13,0.726,0.137,1.019,0.074,-0.011,0.026
